Код_товара	Название_позиции	Ключевые_слова	Описание	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Скидка	Производитель	Страна_производитель	Номер_группы	Адрес_подраздела	Идентификатор_товара	Уникальный_идентификатор	Идентификатор_подраздела	Идентификатор_группы
27.0001	Термостат ARDO таблетка 31мм без клемы заземления(для стиральной машины)		Термостат ARDO таблетка 31мм без клемы заземления(для стиральной машины)	u	308	UAH	шт.	1	235	2		-						27.0001			
2.1.017	Термостат K-50 RANCO L-1,3m		Термостат K-50 RANCO L-1,3m	u	190	UAH	шт.	1	149	2		+						2.1.017			
2.1.015	Термостат K59-P1686 1.3 SKL (аналог Ranco K59-P1686)		Термостат K59-P1686 1.3 SKL (аналог Ranco K59-P1686)	u	155	UAH	шт.	1	115	2		+						2.1.015			
2.1.001	Термостат KDF-22 (двухкамерный)		Термостат KDF-22 (двухкамерный)	u	144	UAH	шт.	1	110	2		+						2.1.001			
2.1.002	Термостат KPF-18 (однокамерный)		Термостат KPF-18 (однокамерный)	u	155	UAH	шт.	1	115	2		+						2.1.002			
3.1.014	Термостат биметалический 15А (длина 265мм) Китай		Термостат биметалический 15А (длина 265мм) Китай	u	115	UAH	шт.	1	84	2		+						3.1.014			
3.1.015	Термостат биметалический 15А (длина 275мм) Oasis3.		Термостат биметалический 15А (длина 275мм) Oasis3.	u	165	UAH	шт.	1	133	2		+						3.1.015			
3.1.013	Термостат биметалический 20А (длина 270мм) Турция		Термостат биметалический 20А (длина 270мм) Турция	u	170	UAH	шт.	1	133	2		+						3.1.013			
3.1.011	Термостат биметалический (штырьковый) Китай (для бойлера)		Термостат биметалический (штырьковый) Китай (для бойлера)	u	95	UAH	шт.	1	74	2		+						3.1.011			
3.1.017	Термостат биметаллический 20 А FIRT(для бойлер)		Термостат биметаллический 20 А FIRT(для бойлер)	u	247	UAH	шт.	1	189	2		-						3.1.017			
27.0002	Термостат газовый Whirlpool 48122824823		Термостат газовый Whirlpool 48122824823	u	321	UAH	шт.	1	246	2		-						27.0002			
2.1.016	Термостат Датчик реле темп.Ф200		Термостат Датчик реле темп.Ф200	u	148	UAH	шт.	1	126	2		+						2.1.016			
2.1.012	Термостат К-50 0,9м Ranco P1477 original		Термостат К-50 0,9м Ranco P1477 original	u	225	UAH	шт.	1	175	2		-						2.1.012			
2.1.013	термостат К57 2,5м Indesit C00851095		термостат К57 2,5м Indesit C00851095	u	262	UAH	шт.	1	216	2		+						2.1.013			
2.1.003	Термостат К-57 2,5м Ranco L2829 original		Термостат К-57 2,5м Ranco L2829 original	u	242	UAH	шт.	1	192	2		+						2.1.003			
2.1.004	Термостат К-59 1.2 м		Термостат К-59 1.2 м	u	145	UAH	шт.	1	111	2		+						2.1.004			
2.1.005	Термостат К-59 1,3м Ranco P1686 original		Термостат К-59 1,3м Ranco P1686 original	u	210	UAH	шт.	1	175	2		+						2.1.005			
2.1.009	Термостат К-59 2,5м Ranco L1275 original		Термостат К-59 2,5м Ranco L1275 original	u	225	UAH	шт.	1	179	2		+						2.1.009			
2.1.014	Термостат морозильного отделения Samsung DA47-10107R		Термостат морозильного отделения Samsung DA47-10107R	u	255	UAH	шт.	1	205	2		+						2.1.014			
2.1.010	Термостат ТАМ-112 1м		Термостат ТАМ-112 1м	u	145	UAH	шт.	1	105	2		-						2.1.010			
2.1.008	Термостат ТАМ-133 1м (двухкамерный)		Термостат ТАМ-133 1м (двухкамерный)	u	155	UAH	шт.	1	122	2		+						2.1.008			
2.1.007	Термостат ТАМ-133 2м (двухкамерный)		Термостат ТАМ-133 2м (двухкамерный)	u	170	UAH	шт.	1	135	2		+						2.1.007			
2.1.006	Термостат ТАМ-145 1.3м		Термостат ТАМ-145 1.3м	u	165	UAH	шт.	1	129	2		-						2.1.006			
2.1.011	Термостат ТАМ-145 2м		Термостат ТАМ-145 2м	u	170	UAH	шт.	1	135	2		+						2.1.011			
2.1.0004	Термостойкий силиконовый герметик belife 310ml		Термостойкий силиконовый герметик belife 310ml	u	133	UAH	шт.	1	109	2		+						2.1.0004			
28.0001	Трансформатор дежурного режима Samsung DE26-00034A		Трансформатор дежурного режима Samsung DE26-00034A	u	224	UAH	шт.	1	172	2		-						28.0001			
5.037	ТЭН 1300W 155мм с датчиком Thermowatt		ТЭН 1300W 155мм с датчиком Thermowatt	u	285	UAH	шт.	1	211	2		+						5.037			
5.027	Тэн 1600w 175мм с датчиком LG AEG33121513 Origina		Тэн 1600w 175мм с датчиком LG AEG33121513 Origina	u	474	UAH	шт.	1	391	2		-						5.027			
5.018	ТЭН 1700 w 175 мм. Подогнутый с отв.		ТЭН 1700 w 175 мм. Подогнутый с отв.	u	274	UAH	шт.	1	216	2		+						5.018			
5.011	ТЭН 1700w 17см. с отв. Kawai		ТЭН 1700w 17см. с отв. Kawai	u	235	UAH	шт.	1	170	2		+						5.011			
5.002	ТЭН 1700w 17см. с отв. Thermowatt		ТЭН 1700w 17см. с отв. Thermowatt	u	199	UAH	шт.	1	156	2		+						5.002			
5.025	ТЭН 1700w 17см. с отв. Thermowatt (упаковка Indesit)		ТЭН 1700w 17см. с отв. Thermowatt (упаковка Indesit)	u	205	UAH	шт.	1	155	2		+						5.025			
5.032	ТЭН 1700W 190мм с отв. Thermowatt		ТЭН 1700W 190мм с отв. Thermowatt	u	265	UAH	шт.	1	175	2		+						5.032			
5.013	ТЭН 1750W 155мм. подогнутый Thermowat		ТЭН 1750W 155мм. подогнутый Thermowat	u	230	UAH	шт.	1	184	2		-						5.013			
5.022	ТЭН 1750w 185мм. с датчиком Electrolux Zanussi ORIGINAL 1326475009		ТЭН 1750w 185мм. с датчиком Electrolux Zanussi ORIGINAL 1326475009	u	260	UAH	шт.	1	214	2		-						5.022			
5.026	ТЭН 1750w 185мм. с датчиком Kawai		ТЭН 1750w 185мм. с датчиком Kawai	u	182	UAH	шт.	1	139	2		-						5.026			
5.030	ТЭН 1800w 190мм. с отв. Thermowatt		ТЭН 1800w 190мм. с отв. Thermowatt	u	248	UAH	шт.	1	188	2		-						5.030			
5.010	Тэн 1800 w 19.5 см согнутый с отв.Thermowat		Тэн 1800 w 19.5 см согнутый с отв.Thermowat	u	325	UAH	шт.	1	254	2		-						5.010			
5.036	ТЭН 1850w 190мм. без отв.		ТЭН 1850w 190мм. без отв.	u	281	UAH	шт.	1	231	2		-						5.036			
5.033	ТЭН 1900W 18.5см Samsung с датчиком Backer		ТЭН 1900W 18.5см Samsung с датчиком Backer	u	320	UAH	шт.	1	223	2		+						5.033			
5.028	ТЭН 1900W 18.5см Samsung с датчиком Original		ТЭН 1900W 18.5см Samsung с датчиком Original	u	320	UAH	шт.	1	263	2		+						5.028			
5.034	ТЭН 1900w 18см. с отв. Thermowatt		ТЭН 1900w 18см. с отв. Thermowatt	u	275	UAH	шт.	1	218	2		+						5.034			
5.021	ТЭН 1900w 225мм. загнут с отв. Thermowatt		ТЭН 1900w 225мм. загнут с отв. Thermowatt	u	294	UAH	шт.	1	253	2		+						5.021			
5.039	ТЭН 1950W 225*175mm прямой с отверстием BACKER		ТЭН 1950W 225*175mm прямой с отверстием BACKER	u	175	UAH	шт.	1	125	2		+						5.039			
5.007	ТЭН 1950W 230 мм. с отв. Thermowat		ТЭН 1950W 230 мм. с отв. Thermowat	u	228	UAH	шт.	1	172	2		+						5.007			
5.004	ТЭН 1950W 240мм без отв.		ТЭН 1950W 240мм без отв.	u	275	UAH	шт.	1	230	2		+						5.004			
5.001	ТЭН 1950w 245 мм. с отв.		ТЭН 1950w 245 мм. с отв.	u	315	UAH	шт.	1	277	2		-						5.001			
5.008	ТЭН 1950W 24см с отв. Thermowatt		ТЭН 1950W 24см с отв. Thermowatt	u	274	UAH	шт.	1	215	2		+						5.008			
5.041	ТЭН 1950Вт 270мм прямой без отверстия Termowatt CANDY 91201546		ТЭН 1950Вт 270мм прямой без отверстия Termowatt CANDY 91201546	u	286	UAH	шт.	1	181	2		+						5.041			
5.009	ТЭН 2000W 19см Ariston		ТЭН 2000W 19см Ariston	u	305	UAH	шт.	1	255	2		+						5.009			
5.012	ТЭН 2000w 200мм. c отв. Thermowatt		ТЭН 2000w 200мм. c отв. Thermowatt	u	288	UAH	шт.	1	223	2		+						5.012			
5.016	ТЭН 2000w 200мм. загнут Thermowatt		ТЭН 2000w 200мм. загнут Thermowatt	u	232	UAH	шт.	1	179	2		-						5.016			
5.020	ТЭН 2000W 230мм подогнутый		ТЭН 2000W 230мм подогнутый	u	299	UAH	шт.	1	250	2		+						5.020			
5.040	Тэн 2000W 245 ммThermowatt c отверстием		Тэн 2000W 245 ммThermowatt c отверстием	u	240	UAH	шт.	1	180	2		-						5.040			
5.023	ТЭН 2000w 300мм (с датчиком) LG AEG33121503		ТЭН 2000w 300мм (с датчиком) LG AEG33121503	u	264	UAH	шт.	1	206	2		+						5.023			
5.024	ТЭН 2000W согнут под 45°		ТЭН 2000W согнут под 45°	u	272	UAH	шт.	1	224	2		+						5.024			
5.042	ТЭН 2050W 245мм. с отв. Thermowatt		ТЭН 2050W 245мм. с отв. Thermowatt	u	245	UAH	шт.	1	168	2		+						5.042			
5.031	ТЭН 3000w 255мм. без отв. Thermowatt		ТЭН 3000w 255мм. без отв. Thermowatt	u	573	UAH	шт.	1	472	2		+						5.031			
5.029	ТЭН ARDO 1950W загнутый дважды SKL		ТЭН ARDO 1950W загнутый дважды SKL	u	241	UAH	шт.	1	199	2		+						5.029			
5.014	ТЭН ARDO 1950W загнутый дважды с отверстием		ТЭН ARDO 1950W загнутый дважды с отверстием	u	367	UAH	шт.	1	302	2		+						5.014			
5.017	ТЭН ARDO 1950W загнутый дважды с предохр.		ТЭН ARDO 1950W загнутый дважды с предохр.	u	258	UAH	шт.	1	196	2		+						5.017			
5.003	ТЭН LG 1900w 175мм. без отв. "Thermowatt"		ТЭН LG 1900w 175мм. без отв. "Thermowatt"	u	235	UAH	шт.	1	182	2		+						5.003			
5.005	ТЭН LG 1900w 300мм. без отв.		ТЭН LG 1900w 300мм. без отв.	u	358	UAH	шт.	1	286	2		+						5.005			
5.015	ТЭН LG 2000w 300мм. без отв. Thermowatt		ТЭН LG 2000w 300мм. без отв. Thermowatt	u	308	UAH	шт.	1	234	2		+						5.015			
3.1.018	Тэн Reco 2000 Ват, фланец, c портом под анод, длинные ножки		Тэн Reco 2000 Ват, фланец, c портом под анод, длинные ножки	u	338	UAH	шт.	1	260	2		+						3.1.018			
5.019	Тэн Samsung 850 W		Тэн Samsung 850 W	u	272	UAH	шт.	1	209	2		-						5.019			
5.038	ТЭН Samsung 850W (SKL)		ТЭН Samsung 850W (SKL)	u	235	UAH	шт.	1	164	2		+						5.038			
5.006	ТЭН Samsung керамический 1900w 175мм		ТЭН Samsung керамический 1900w 175мм	u	498	UAH	шт.	1	410	2		+						5.006			
3.1.006	Тэн Thermowatt 1,5 кВат, гайка, c портом под анод		Тэн Thermowatt 1,5 кВат, гайка, c портом под анод	u	375	UAH	шт.	1	297	2		+						3.1.006			
3.1.007	Тэн Thermowatt 1,5 кВат, фланец, c портом под анод (М6)		Тэн Thermowatt 1,5 кВат, фланец, c портом под анод (М6)	u	408	UAH	шт.	1	336	2		+						3.1.007			
3.1.005	Тэн Thermowatt 2,0 кВат, гайка, c портом под анод		Тэн Thermowatt 2,0 кВат, гайка, c портом под анод	u	415	UAH	шт.	1	321	2		+						3.1.005			
3.1.017	Тэн Thermowatt 2,0 кВат, фланец, c портом под анод		Тэн Thermowatt 2,0 кВат, фланец, c портом под анод	u	416	UAH	шт.	1	324	2		+						3.1.017			
3.1.008	Тэн Thermowatt типа Thermex 0.7 кВт нерж. без трубки под термостат		Тэн Thermowatt типа Thermex 0.7 кВт нерж. без трубки под термостат	u	218	UAH	шт.	1	196	2		+						3.1.008			
3.1.003	Тэн Thermowatt типа Thermex 2.0 кВт медь. с трубками под 2 термостата		Тэн Thermowatt типа Thermex 2.0 кВт медь. с трубками под 2 термостата	u	439	UAH	шт.	1	412	2		+						3.1.003			
3.1.001	Тэн Thermowatt типа Thermex 2.0 кВт нерж. с трубками под 2 термостата		Тэн Thermowatt типа Thermex 2.0 кВт нерж. с трубками под 2 термостата	u	376	UAH	шт.	1	309	2		+						3.1.001			
3.1.002	Тэн Китай 1,5 кВат, гайка с термостатом		Тэн Китай 1,5 кВат, гайка с термостатом	u	225	UAH	шт.	1	168	2		+						3.1.002			
3.1.010	Тэн Китай 1,5 кВат, фланец, c портом под анод, длинные ножки		Тэн Китай 1,5 кВат, фланец, c портом под анод, длинные ножки	u	272	UAH	шт.	1	224	2		+						3.1.010			
3.1.009	Тэн Китай типа Thermex 2.0 кВт нерж. с трубками под 2 термостата		Тэн Китай типа Thermex 2.0 кВт нерж. с трубками под 2 термостата	u	291	UAH	шт.	1	239	2		+						3.1.009			
2.5.002	Тэн оттайки шторки Samsung DA47-00056B		Тэн оттайки шторки Samsung DA47-00056B	u	236	UAH	шт.	1	195	2		+						2.5.002			
3.1.012	ТЭН "сухой" Gorenje Electrolux 1000 W		ТЭН "сухой" Gorenje Electrolux 1000 W	u	223	UAH	шт.	1	183	2		+						3.1.012			
3.1.004	ТЭН "сухой" Gorenje Electrolux 900 W		ТЭН "сухой" Gorenje Electrolux 900 W	u	211	UAH	шт.	1	211	2		+						3.1.004			
18.0013	Универсальный cетевой фильтр с проводами		Универсальный cетевой фильтр с проводами	u	105	UAH	шт.	1	74	2		+						18.0013			
2.9.003	Уплотнитель двери морозильной камеры Indesit C00854014		Уплотнитель двери морозильной камеры Indesit C00854014	u	670	UAH	шт.	1	577	2		-						2.9.003			
	Уплотнительная резина морозильной камеры 555х680мм Атлант 769748901502		Уплотнительная резина морозильной камеры 555х680мм Атлант 769748901502	u	390	UAH	шт.	1	321	2		-									
2.9.001	Уплотнительная резина морозильной камеры Nord 233, 235, 245 (550х420мм)		Уплотнительная резина морозильной камеры Nord 233, 235, 245 (550х420мм)	u	248	UAH	шт.	1	204	2		-						2.9.001			
	Уплотнительная резина морозильной камеры Snaige 310 (560х680мм)		Уплотнительная резина морозильной камеры Snaige 310 (560х680мм)	u	315	UAH	шт.	1	259	2		-									
2.9.004	Уплотнительная резина морозильной камеры Атлант 769748901801		Уплотнительная резина морозильной камеры Атлант 769748901801	u	357	UAH	шт.	1	294	2		-						2.9.004			
	Уплотнительная резина холодильной камеры Nord 214, 225, 226, 240, 245 (550х1010мм)		Уплотнительная резина холодильной камеры Nord 214, 225, 226, 240, 245 (550х1010мм)	u	391	UAH	шт.	1	322	2		-									
2.9.002	Уплотнительная резина холодильной камеры Nord 233 (550х1230мм)		Уплотнительная резина холодильной камеры Nord 233 (550х1230мм)	u	369	UAH	шт.	1	304	2		-						2.9.002			
2.7.001	Фильтр осушитель 13гр. D5		Фильтр осушитель 13гр. D5	u	27	UAH	шт.	1	22	2		+						2.7.001			
2.7.002	Фильтр осушитель 13гр. D6		Фильтр осушитель 13гр. D6	u	27	UAH	шт.	1	22	2		-						2.7.002			
2.7.003	Фильтр осушитель 15гр. D5 Китай		Фильтр осушитель 15гр. D5 Китай	u	24	UAH	шт.	1	20	2		+						2.7.003			
2.7.004	Фильтр осушитель 15гр. D6 (Китай)		Фильтр осушитель 15гр. D6 (Китай)	u	24	UAH	шт.	1	20	2		+						2.7.004			
	Фланец под «сухие» ТЭНы Gorenje (емалированная сталь)		Фланец под «сухие» ТЭНы Gorenje (емалированная сталь)	u	794	UAH	шт.	1	654	2		-									
3.1.016	Фланец под «сухие» ТЭНы Gorenje (нержавейка)		Фланец под «сухие» ТЭНы Gorenje (нержавейка)	u	825	UAH	шт.	1	679	2		+						3.1.016			
22.0003	Хомут резины люка (наружний) LG 2W20017C		Хомут резины люка (наружний) LG 2W20017C	u	205	UAH	шт.	1	157	2		+						22.0003			
4.1.013	Шестерня 16/37мм 14/34 зубьев для мясорубки Эльво		Шестерня 16/37мм 14/34 зубьев для мясорубки Эльво	u	90	UAH	шт.	1	56	2		+						4.1.013			
4.1.001	Шестерня 41мм/50зуб. 16мм/13 зубьев для мясорубки Помощница		Шестерня 41мм/50зуб. 16мм/13 зубьев для мясорубки Помощница	u	90	UAH	шт.	1	60	2		+						4.1.001			
4.1.015	Шестерня 82мм/46 зубьев с металлическим валом		Шестерня 82мм/46 зубьев с металлическим валом	u	145	UAH	шт.	1	91	2		+						4.1.015			
4.1.012	Шестерня большая к мясорубке Braun Power Plus		Шестерня большая к мясорубке Braun Power Plus	u	90	UAH	шт.	1	68	2		+						4.1.012			
4.1.010	Шестерня для мясорубки Moulinex MS-4775455		Шестерня для мясорубки Moulinex MS-4775455	u	110	UAH	шт.	1	87	2		+						4.1.010			
4.1.014	Шестерня для мясорубки Moulinex MS-4775719		Шестерня для мясорубки Moulinex MS-4775719	u	54	UAH	шт.	1	45	2		+						4.1.014			
4.1.002	Шестерня для мясорубки Moulinex MS-4775719 (не оригинал)		Шестерня для мясорубки Moulinex MS-4775719 (не оригинал)	u	110	UAH	шт.	1	70	2		-						4.1.002			
4.1.016	Шестерня малая Zelmer 187.0003		Шестерня малая Zelmer 187.0003	u	80	UAH	шт.	1	66	2		+						4.1.016			
4.1.003	Шестерня мясорубки 17,7/47,5мм с металической втулкой		Шестерня мясорубки 17,7/47,5мм с металической втулкой	u	108	UAH	шт.	1	70	2		+						4.1.003			
4.1.011	Шестерня редуктора Bosch 152314		Шестерня редуктора Bosch 152314	u	95	UAH	шт.	1	75	2		+						4.1.011			
4.1.004	Шестерня редуктора Bosch 611988		Шестерня редуктора Bosch 611988	u	69	UAH	шт.	1	50	2		+						4.1.004			
4.1.005	Шестерня редуктора мясорубки Delfa, Saturn, Vitek (не оригинал)		Шестерня редуктора мясорубки Delfa, Saturn, Vitek (не оригинал)	u	105	UAH	шт.	1	80	2		+						4.1.005			
4.1.006	Шестерня с металической втулкой для мясорубки Delfa, Saturn, Vitek		Шестерня с металической втулкой для мясорубки Delfa, Saturn, Vitek	u	105	UAH	шт.	1	69	2		+						4.1.006			
4.1.007	Шестерня средняя (66мм) мясорубки Delfa, Saturn, Vitek (не оригинал)		Шестерня средняя (66мм) мясорубки Delfa, Saturn, Vitek (не оригинал)	u	120	UAH	шт.	1	90	2		-						4.1.007			
4.1.008	Шестерня средняя к мясорубке Braun 67051414 (не оригинал)		Шестерня средняя к мясорубке Braun 67051414 (не оригинал)	u	155	UAH	шт.	1	90	2		+						4.1.008			
4.1.009	Шестерня шнека для мясорубки Zelmer 187.0005		Шестерня шнека для мясорубки Zelmer 187.0005	u	172	UAH	шт.	1	133	2		+						4.1.009			
8.0004	Шланг заливной с аквастопом для посудомоечных машин Indesit C00256554		Шланг заливной с аквастопом для посудомоечных машин Indesit C00256554	u	1153	UAH	шт.	1	881	2		-						8.0004			
8.0008	Шланг заливной универсальный 1,5м		Шланг заливной универсальный 1,5м	u	98	UAH	шт.	1	59	2		-						8.0008			
8.0012	Шланг заливной универсальный 1м		Шланг заливной универсальный 1м	u	78	UAH	шт.	1	50	2		+						8.0012			
8.0001	Шланг заливной универсальный 2,5 м.		Шланг заливной универсальный 2,5 м.	u	155	UAH	шт.	1	115	2		+						8.0001			
8.0002	Шланг заливной универсальный 2 м		Шланг заливной универсальный 2 м	u	125	UAH	шт.	1	88	2		+						8.0002			
8.0007	Шланг заливной универсальный 3.5м		Шланг заливной универсальный 3.5м	u	155	UAH	шт.	1	115	2		+						8.0007			
8.0010	Шланг заливной универсальный 3м		Шланг заливной универсальный 3м	u	140	UAH	шт.	1	104	2		+						8.0010			
8.0003	Шланг заливной универсальный 4м		Шланг заливной универсальный 4м	u	175	UAH	шт.	1	154	2		+						8.0003			
8.0006	Шланг заливной универсальный 5м		Шланг заливной универсальный 5м	u	185	UAH	шт.	1	144	2		+						8.0006			
8.0009	Шланг сливной Indesit C00051563 не оригинал		Шланг сливной Indesit C00051563 не оригинал	u	145	UAH	шт.	1	115	2		+						8.0009			
8.0005	шланг сливной универсальный 2.5м		шланг сливной универсальный 2.5м	u	95	UAH	шт.	1	75	2		+						8.0005			
	Шток ручки выбора программ Gorenje 312080		Шток ручки выбора программ Gorenje 312080	u	126	UAH	шт.	1	104	2		-									
9.001	Щетка угольная 5*12,5*32 клееная, провод с боку Siemens Bosch		Щетка угольная 5*12,5*32 клееная, провод с боку Siemens Bosch	u	125	UAH	шт.	1	85	2		+						9.001			
9.002	Щетка угольная 5*12,5*35 клееная, провод по центру		Щетка угольная 5*12,5*35 клееная, провод по центру	u	115	UAH	шт.	1	95	2		+						9.002			
9.003	Щетка угольная 5*12,5*35 клееная, провод по центру с пружинкой		Щетка угольная 5*12,5*35 клееная, провод по центру с пружинкой	u	135	UAH	шт.	1	120	2		+						9.003			
9.004	Щетка угольная 5*12,5*35 цельная, провод по центру		Щетка угольная 5*12,5*35 цельная, провод по центру	u	105	UAH	шт.	1	85	2		-						9.004			
9.005	Щетка угольная 5*12,5*35 цельная, провод по центру с пружинкой		Щетка угольная 5*12,5*35 цельная, провод по центру с пружинкой	u	105	UAH	шт.	1	85	2		+						9.005			
9.010	Щетка угольная 5*12,5*36 с щеткодержателем (не оригинал)		Щетка угольная 5*12,5*36 с щеткодержателем (не оригинал)	u	274	UAH	шт.	1	195	2		+						9.010			
9.009	Щетка угольная 5*13,5*35 клееная, провод по центру		Щетка угольная 5*13,5*35 клееная, провод по центру	u	142	UAH	шт.	1	122	2		-						9.009			
9.006	Щетка угольная 5*13,5*35 цельная, провод по центру		Щетка угольная 5*13,5*35 цельная, провод по центру	u	105	UAH	шт.	1	85	2		-						9.006			
9.007	Щетка угольная 5*13,5*40 клееная, провод по центру (отличного качества)		Щетка угольная 5*13,5*40 клееная, провод по центру (отличного качества)	u	135	UAH	шт.	1	120	2		+						9.007			
9.013	Щетка угольные 5*15*27 цельные, провод по центру с пружинкой		Щетка угольные 5*15*27 цельные, провод по центру с пружинкой	u	155	UAH	шт.	1	134	2		+						9.013			
9.018	Щетки угольные 5*12,5*35 клееные, провод по центру SKL		Щетки угольные 5*12,5*35 клееные, провод по центру SKL	u	105	UAH	шт.	1	95	2		+						9.018			
9.012	Щетки угольные 5*12,5*36 с щеткодержателем Indesit C00196539		Щетки угольные 5*12,5*36 с щеткодержателем Indesit C00196539	u	335	UAH	шт.	1	276	2		+						9.012			
9.015	Щетки угольные 5*12,5*36 с щеткодержателем Indesit C00196540 Original		Щетки угольные 5*12,5*36 с щеткодержателем Indesit C00196540 Original	u	359	UAH	шт.	1	295	2		+						9.015			
9.011	Щетки угольные 5*13,5*32 с щеткодержателем		Щетки угольные 5*13,5*32 с щеткодержателем	u	265	UAH	шт.	1	218	2		+						9.011			
9.016	Щетки угольные 5*13,5*35 цельные, провод по центру SKL		Щетки угольные 5*13,5*35 цельные, провод по центру SKL	u	105	UAH	шт.	1	75	2		+						9.016			
9.014	Щетки угольные 5*13.5*36 c щеткодержателем Indesit C00194594 Original		Щетки угольные 5*13.5*36 c щеткодержателем Indesit C00194594 Original	u	386	UAH	шт.	1	318	2		+						9.014			
9.017	Щетки угольные 5*13,5*36 с щеткодержателем		Щетки угольные 5*13,5*36 с щеткодержателем	u	275	UAH	шт.	1	196	2		+						9.017			
30.0001	Электронная плата Indesit Arcadia C00252878		Электронная плата Indesit Arcadia C00252878	u	1697	UAH	шт.	1	1697	2		-						30.0001			
30.0002	Электронная плата Indesit, Ariston EVO 2 C00254297		Электронная плата Indesit, Ariston EVO 2 C00254297	u	1595	UAH	шт.	1	1595	2		-						30.0002			
