Код_товара	Название_позиции	Ключевые_слова	Описание	Тип_товара	Цена	Валюта	Единица_измерения	Минимальный_объем_заказа	Оптовая_цена	Минимальный_заказ_опт	Ссылка_изображения	Наличие	Скидка	Производитель	Страна_производитель	Номер_группы	Адрес_подраздела	Идентификатор_товара	Уникальный_идентификатор	Идентификатор_подраздела	Идентификатор_группы
18.0003	КОНДЕНСАТОР ПОЛЯРНЫЙ 680MF 16V		КОНДЕНСАТОР ПОЛЯРНЫЙ 680MF 16V	u	0	UAH	шт.	1	0	2		-						18.0003			
18.0012	Конденсатор «САТУРН» двойной.		Конденсатор «САТУРН» двойной.	u	125	UAH	шт.	1	87	2		+						18.0012			
14.013	Корпус насоса Gorenje 169185		Корпус насоса Gorenje 169185	u	172	UAH	шт.	1	126	2		+						14.013			
14.002	Корпус насоса Samsung DC61-01674E, без пробки.		Корпус насоса Samsung DC61-01674E, без пробки.	u	211	UAH	шт.	1	174	2		-						14.002			
14.001	Корпус насоса с фильтром в сборе Bosch Max для стиральной машины		Корпус насоса с фильтром в сборе Bosch Max для стиральной машины	u	172	UAH	шт.	1	155	2		+						14.001			
29.006	Кран для стиральной машинки магистральный 1/2*3/4*1/2		Кран для стиральной машинки магистральный 1/2*3/4*1/2	u	120	UAH	шт.	1	92	2		+						29.006			
29.005	Кран для стиральной машинки угловой		Кран для стиральной машинки угловой	u	96	UAH	шт.	1	57	2		+						29.005			
19.0006	Крестовина Indesit с низким суппортом		Крестовина Indesit с низким суппортом	u	740	UAH	шт.	1	659	2		-						19.0006			
19.0004	Крестовина барабана Candy 49003268		Крестовина барабана Candy 49003268	u	1180	UAH	шт.	1	1180	2		-						19.0004			
19.0005	Крестовина барабана Indesit Ariston		Крестовина барабана Indesit Ariston	u	592	UAH	шт.	1	487	2		-						19.0005			
	Крестовина барабана LG 4434ER1007D (EBI)		Крестовина барабана LG 4434ER1007D (EBI)	u	915	UAH	шт.	1	860	2		-									
19.0007	Крестовина барабана LG 4434ER1008A		Крестовина барабана LG 4434ER1008A	u	1061	UAH	шт.	1	840	2		-						19.0007			
19.0008	Крестовина барабана LG MHW34308901		Крестовина барабана LG MHW34308901	u	935	UAH	шт.	1	807	2		+						19.0008			
19.0001	Крестовина барабана Samsung DC97-01819B		Крестовина барабана Samsung DC97-01819B	u	1182	UAH	шт.	1	904	2		-						19.0001			
19.0002	Крестовина барабана Samsung DC97-11292A (производство EBI - Италия)		Крестовина барабана Samsung DC97-11292A (производство EBI - Италия)	u	920	UAH	шт.	1	776	2		-						19.0002			
19.0003	Крестовина барабана Samsung DC97-15182A Original		Крестовина барабана Samsung DC97-15182A Original	u	960	UAH	шт.	1	829	2		+						19.0003			
2.10.004	Крыльчатка вентилятора Indesit C00859992		Крыльчатка вентилятора Indesit C00859992	u	95	UAH	шт.	1	76	2		+						2.10.004			
2.10.005	Крыльчатка вентилятора Samsung DA31-00019A		Крыльчатка вентилятора Samsung DA31-00019A	u	86	UAH	шт.	1	72	2		+						2.10.005			
14.012	Крышка насоса Electrolux Zanussi AEG для стиральной машины		Крышка насоса Electrolux Zanussi AEG для стиральной машины	u	342	UAH	шт.	1	261	2		-						14.012			
14.003	крышка насоса Gorenje 279538		крышка насоса Gorenje 279538	u	224	UAH	шт.	1	148	2		+						14.003			
14.004	Крышка насоса Siemens Bosch		Крышка насоса Siemens Bosch	u	185	UAH	шт.	1	132	2		+						14.004			
14.009	Крышка насоса (фильтр) Beko 2810900100		Крышка насоса (фильтр) Beko 2810900100	u	126	UAH	шт.	1	90	2		+						14.009			
14.010	Крышка насоса (Фильтр) Bosch Siemens 605010 не оригинал		Крышка насоса (Фильтр) Bosch Siemens 605010 не оригинал	u	87	UAH	шт.	1	56	2		+						14.010			
14.005	Крышка насоса (Фильтр) Indesit		Крышка насоса (Фильтр) Indesit	u	75	UAH	шт.	1	55	2		+						14.005			
14.006	Крышка насоса (Фильтр) Indesit Ariston (комплект)		Крышка насоса (Фильтр) Indesit Ariston (комплект)	u	139	UAH	шт.	1	115	2		+						14.006			
14.011	Крышка насоса (фильтр) Indesit C00141034 (не оригинал)		Крышка насоса (фильтр) Indesit C00141034 (не оригинал)	u	85	UAH	шт.	1	56	2		+						14.011			
14.007	Крышка насоса (Фильтр) Samsung		Крышка насоса (Фильтр) Samsung	u	233	UAH	шт.	1	156	2		+						14.007			
14.008	Крышка насоса (Фильтр) Whirlpool		Крышка насоса (Фильтр) Whirlpool	u	129	UAH	шт.	1	89	2		+						14.008			
2.8.001	Лампочка для холодильника 15W E14 Britech		Лампочка для холодильника 15W E14 Britech	u	27	UAH	шт.	1	21	2		+						2.8.001			
3.2.002	Магниевый анод 20мм*200мм ножка 180мм М6 Италия		Магниевый анод 20мм*200мм ножка 180мм М6 Италия	u	96	UAH	шт.	1	79	2		+						3.2.002			
3.2.006	Магниевый анод 21мм*200мм ножка 25мм М8		Магниевый анод 21мм*200мм ножка 25мм М8	u	62	UAH	шт.	1	43	2		+						3.2.006			
3.2.008	Магниевый анод для бойлера 20x400mm, M8x30mm		Магниевый анод для бойлера 20x400mm, M8x30mm	u	135	UAH	шт.	1	110	2		+						3.2.008			
3.2.007	Магниевый анод для бойлера 25x400mm, M8x30mm		Магниевый анод для бойлера 25x400mm, M8x30mm	u	173	UAH	шт.	1	147	2		+						3.2.007			
3.2.001	Магниевый анод М4 на короткой ножке Украина		Магниевый анод М4 на короткой ножке Украина	u	58	UAH	шт.	1	42	2		+						3.2.001			
3.2.005	Магниевый анод М5 на длинной ножке Украина		Магниевый анод М5 на длинной ножке Украина	u	65	UAH	шт.	1	55	2		+						3.2.005			
3.2.003	Магниевый анод М5 на короткой ножке Украина		Магниевый анод М5 на короткой ножке Украина	u	60	UAH	шт.	1	55	2		+						3.2.003			
3.2.004	Магниевый анод М6 на длинной ножке Украина		Магниевый анод М6 на длинной ножке Украина	u	65	UAH	шт.	1	45	2		+						3.2.004			
13.001	Микроконтроллер HD6433662C01HV		Микроконтроллер HD6433662C01HV	u	250	UAH	шт.	1	250	2		-						13.001			
13.002	Микроконтроллер HD6433692B86HV		Микроконтроллер HD6433692B86HV	u	300	UAH	шт.	1	300	2		+						13.002			
13.003	микроконтроллер MC9S08GB60A		микроконтроллер MC9S08GB60A	u	150	UAH	шт.	1	150	2		+						13.003			
30.0004	Модуль (плата) Indesit Arcadia C00252878 б/у.		Модуль (плата) Indesit Arcadia C00252878 б/у.	u	850	UAH	шт.	1	850	2		+						30.0004			
	Модуль (плата) Indesit Arcadia C00270972		Модуль (плата) Indesit Arcadia C00270972	u	2582	UAH	шт.	1	2120	2		-									
30.0003	Модуль (плата) Indesit Arcadia C00288974		Модуль (плата) Indesit Arcadia C00288974	u	1650	UAH	шт.	1	1550	2		+						30.0003			
1.16.0034	Модуль (плата) Indesit EVO 2 Б/У		Модуль (плата) Indesit EVO 2 Б/У	u	850	UAH	шт.	1	850	2		-						1.16.0034			
1885040605	Модуль (плата управления) Beko 1885040605 для посудомоечной машины		Модуль (плата управления) Beko 1885040605 для посудомоечной машины	u	0	UAH	шт.	1	0	2		-						1885040605			
	Модуль(плата управления) Whirpool 481010438414		Модуль(плата управления) Whirpool 481010438414	u	1880	UAH	шт.	1	1880	2		-									
2.10.001	Мотор вентилятора обдува совместимый с LG 4680JR1009F		Мотор вентилятора обдува совместимый с LG 4680JR1009F	u	335	UAH	шт.	1	230	2		-						2.10.001			
6.1.001	Мотор универсальный 1800w 135мм с буртиком для пылесоса		Мотор универсальный 1800w 135мм с буртиком для пылесоса	u	565	UAH	шт.	1	405	2		+						6.1.001			
25.001	Мотор циркуляции Whirlpool 48014010239525		Мотор циркуляции Whirlpool 48014010239525	u	2850	UAH	шт.	1	2730	2		-						25.001			
	Мотор циркуляционный Indesit Ariston C00257903		Мотор циркуляционный Indesit Ariston C00257903	u	2190	UAH	шт.	1	2190	2		-									
25.002	Мотор циркуляционный на Ariston Indesit Askoll M233		Мотор циркуляционный на Ariston Indesit Askoll M233	u	1758	UAH	шт.	1	1448	2		-						25.002			
2.5.001	Нагреватель поддона каплепадения Indesit C00851066		Нагреватель поддона каплепадения Indesit C00851066	u	257	UAH	шт.	1	211	2		-						2.5.001			
2.017	Насос в сборе с корпусом Indesit C00309709		Насос в сборе с корпусом Indesit C00309709	u	570	UAH	шт.	1	452	2		+						2.017			
