Код_товара;Название_позиции;Ключевые_слова;Описание;Тип_товара;Цена;Валюта;Единица_измерения;Минимальный_объем_заказа;Оптовая_цена;Минимальный_заказ_опт;Ссылка_изображения;Наличие;Скидка;Производитель;Страна_производитель;Номер_группы;Адрес_подраздела;Идентификатор_товара;Уникальный_идентификатор;Идентификатор_подраздела
10.0020;Сальник 30*45*8 KOK;;Сальник 30*45*8 KOK;u;42;UAH;шт.;1;42;2;;+;;;;;;1.1.0337;;
10.0024;Сальник 30*52*10/12 SKL;;Сальник 30*52*10/12 SKL;u;45;UAH;шт.;1;45;2;;+;;;;;;1.1.0353;;
10.0023;Сальник 30*52*10/12 WLK;;Сальник 30*52*10/12 WLK;u;61;UAH;шт.;1;61;2;;+;;;;;;1.1.0051;;
10.0025;Сальник 30*52*10/12 Италия;;Сальник 30*52*10/12 Италия;u;95;UAH;шт.;1;95;2;;+;;;;;;1.1.0206;;
10.0022;Сальник 30*52*10 WLK;;Сальник 30*52*10 WLK;u;75;UAH;шт.;1;75;2;;+;;;;;;1.1.0058;;
10.0099;Сальник 30*52/62*9,5/16 SKL;;Сальник 30*52/62*9,5/16 SKL;u;76;UAH;шт.;1;76;2;;+;;;;;;1.1.0172;;
10.0026;Сальник 30*52/65*7/10 Original;;Сальник 30*52/65*7/10 Original;u;95;UAH;шт.;1;95;2;;+;;;;;;1.1.0110;;
10.0057;Сальник 30*52/65*7/10 SKL;;Сальник 30*52/65*7/10 SKL;u;58;UAH;шт.;1;58;2;;+;;;;;;1.1.0362;;
10.0058;Сальник 30*52/66*12/16.5;;Сальник 30*52/66*12/16.5;u;85;UAH;шт.;1;85;2;;+;;;;;;1.1.0096;;
10.0029;Сальник 30*52*8,5/10,5 SKL;;Сальник 30*52*8,5/10,5 SKL;u;68;UAH;шт.;1;68;2;;+;;;;;;1.1.0242;;
10.0030;Сальник 30*52*8,5/10,5 WLK;;Сальник 30*52*8,5/10,5 WLK;u;85;UAH;шт.;1;85;2;;+;;;;;;1.1.0376;;
10.0031;Сальник 30*52*8,5/10,5 Италия ROLF;;Сальник 30*52*8,5/10,5 Италия ROLF;u;88;UAH;шт.;1;88;2;;+;;;;;;1.1.0100;;
10.0090;Сальник 30*53,5*10/14 SKL;;Сальник 30*53,5*10/14 SKL;u;42;UAH;шт.;1;42;2;;+;;;;;;1.1.0120;;
10.0093;Сальник 30*53,5*9/14,5 SKL;;Сальник 30*53,5*9/14,5 SKL;u;55;UAH;шт.;1;55;2;;+;;;;;;1.1.0280;;
10.0089;Сальник 30*55*10 SKL;;Сальник 30*55*10 SKL;u;35;UAH;шт.;1;35;2;;+;;;;;;1.1.0108;;
10.0091;Сальник 30*55/68*8/11 SKL;;Сальник 30*55/68*8/11 SKL;u;45;UAH;шт.;1;45;2;;+;;;;;;1.1.0350;;
10.0056;Сальник 30*60,55*10/12 SKL (Samsung);;Сальник 30*60,55*10/12 SKL (Samsung);u;88;UAH;шт.;1;88;2;;+;;;;;;1.1.0407;;
10.0051;Сальник 30*60,55*10/12 WLK;;Сальник 30*60,55*10/12 WLK;u;115;UAH;шт.;1;115;2;;+;;;;;;1.1.0251;;
10.0055;Сальник 32*52*10/12 SKL;;Сальник 32*52*10/12 SKL;u;66;UAH;шт.;1;66;2;;+;;;;;;1.1.0253;;
10.0087;Сальник 32*52*10/12 Италия;;Сальник 32*52*10/12 Италия;u;130;UAH;шт.;1;130;2;;+;;;;;;1.1.0097;;
10.0033;Сальник 34*52/65*7/10,5;;Сальник 34*52/65*7/10,5;u;85;UAH;шт.;1;85;2;;+;;;;;;1.1.0037;;
10.0034;Сальник 35*52/65*7/10;;Сальник 35*52/65*7/10;u;55;UAH;шт.;1;55;2;;+;;;;;;1.1.0035;;
10.0035;Сальник 35*52/65*7/10 Original;;Сальник 35*52/65*7/10 Original;u;125;UAH;шт.;1;125;2;;+;;;;;;1.1.0111;;
10.0062;Сальник 35*62*10 SKL;;Сальник 35*62*10 SKL;u;68;UAH;шт.;1;68;2;;+;;;;;;1.1.0370;;
10.0036;Сальник 35*62*10 WLK;;Сальник 35*62*10 WLK;u;77;UAH;шт.;1;77;2;;+;;;;;;1.1.0028;;
10.0037;Сальник 35*62*10 Италия;;Сальник 35*62*10 Италия;u;86;UAH;шт.;1;86;2;;+;;;;;;1.1.0184;;
10.0063;Сальник 35*62*11/12,5;;Сальник 35*62*11/12,5;u;82;UAH;шт.;1;82;2;;+;;;;;;1.1.0258;;
10.0071;Сальник 35*62/75*7/10 Indesit Original;;Сальник 35*62/75*7/10 Indesit Original;u;116;UAH;шт.;1;116;2;;+;;;;;;1.1.0185;;
10.0038;Сальник 35*62/75*7/10 SKL;;Сальник 35*62/75*7/10 SKL;u;72;UAH;шт.;1;72;2;;+;;;;;;1.1.0034;;
10.0075;Сальник 35*65*10 SKL;;Сальник 35*65*10 SKL;u;58;UAH;шт.;1;58;2;;+;;;;;;1.1.0358;;
10.0039;Сальник 35*65*10 WLK;;Сальник 35*65*10 WLK;u;72;UAH;шт.;1;72;2;;+;;;;;;1.1.0158;;
10.0076;Сальник 35*65*11/13,5 WFK;;Сальник 35*65*11/13,5 WFK;u;46;UAH;шт.;1;46;2;;+;;;;;;1.1.0132;;
10.0040;Сальник 35*65,55*10/12 SKL;;Сальник 35*65,55*10/12 SKL;u;72;UAH;шт.;1;72;2;;+;;;;;;1.1.0106;;
10.0067;Сальник 35*72*10/12 SKL;;Сальник 35*72*10/12 SKL;u;62;UAH;шт.;1;62;2;;+;;;;;;1.1.0359;;
10.0041;Сальник 35*72*10/12 WLK;;Сальник 35*72*10/12 WLK;u;137;UAH;шт.;1;137;2;;+;;;;;;1.1.0202;;
10.0042;Сальник 35*72/84*11/18 SKL;;Сальник 35*72/84*11/18 SKL;u;75;UAH;шт.;1;75;2;;+;;;;;;1.1.0123;;
10.0043;Сальник 35*75,55*10/12 Samsung (не оригинал) SKL;;Сальник 35*75,55*10/12 Samsung (не оригинал) SKL;u;71;UAH;шт.;1;71;2;;+;;;;;;1.1.0240;;
10.0061;Сальник 35*76*10/14 Miele WLK;;Сальник 35*76*10/14 Miele WLK;u;85;UAH;шт.;1;85;2;;+;;;;;;1.1.0038;;
10.0094;Сальник 37,4*62*10/12 SKL;;Сальник 37,4*62*10/12 SKL;u;110;UAH;шт.;1;110;2;;+;;;;;;1.1.0372;;
10.0052;Сальник 37*62*10 Италия;;Сальник 37*62*10 Италия;u;72;UAH;шт.;1;72;2;;+;;;;;;1.1.0116;;
10.0069;Сальник 37*66*9,5/12 Passoroti (Италия);;Сальник 37*66*9,5/12 Passoroti (Италия);u;70;UAH;шт.;1;70;2;;+;;;;;;1.1.0419;;
10.0053;Сальник 37*66*9,5/12 SKL;;Сальник 37*66*9,5/12 SKL;u;72;UAH;шт.;1;72;2;;+;;;;;;1.1.0332;;
10.0044;Сальник 37*66*9,5/12 WLK;;Сальник 37*66*9,5/12 WLK;u;78;UAH;шт.;1;78;2;;+;;;;;;1.1.0039;;
10.0070;Сальник 37*72,1*9/15,5 SKL;;Сальник 37*72,1*9/15,5 SKL;u;123;UAH;шт.;1;123;2;;+;;;;;;1.1.0346;;
10.0060;Сальник 37*76*9,5/12 SKL;;Сальник 37*76*9,5/12 SKL;u;85;UAH;шт.;1;85;2;;+;;;;;;1.1.0341;;
10.0059;Сальник 37*76*9,5/12 WLK;;Сальник 37*76*9,5/12 WLK;u;105;UAH;шт.;1;105;2;;+;;;;;;1.1.0238;;
10.0082;Сальник 40,2*60/105*8/15,5 SKL;;Сальник 40,2*60/105*8/15,5 SKL;u;105;UAH;шт.;1;105;2;;+;;;;;;1.1.0192;;
10.0072;Сальник 40,2*72*10/13,5 Италия;;Сальник 40,2*72*10/13,5 Италия;u;110;UAH;шт.;1;110;2;;+;;;;;;1.1.0409;;
10.0074;Сальник 40,2*72/80*8/13 SKL;;Сальник 40,2*72/80*8/13 SKL;u;80;UAH;шт.;1;80;2;;+;;;;;;1.1.0363;;
10.0073;Сальник 40,2*72/80*8/13 WLK;;Сальник 40,2*72/80*8/13 WLK;u;110;UAH;шт.;1;110;2;;+;;;;;;1.1.0041;;
10.0065;Сальник 40*55*10 SKL;;Сальник 40*55*10 SKL;u;70;UAH;шт.;1;70;2;;+;;;;;;1.1.0131;;
10.0045;Сальник 40*60*10 SKL;;Сальник 40*60*10 SKL;u;55;UAH;шт.;1;55;2;;+;;;;;;1.1.0259;;
10.0088;Сальник 40*60*10 WLK;;Сальник 40*60*10 WLK;u;75;UAH;шт.;1;75;2;;+;;;;;;1.1.0052;;
10.0095;Сальник 40*65*10 SKL;;Сальник 40*65*10 SKL;u;48;UAH;шт.;1;48;2;;+;;;;;;1.1.0236;;
10.0050;Сальник 40*66*10/11,5 WLK;;Сальник 40*66*10/11,5 WLK;u;95;UAH;шт.;1;95;2;;+;;;;;;1.1.0333;;
10.0096;Сальник 40*70/80*10,5/15;;Сальник 40*70/80*10,5/15;u;110;UAH;шт.;1;110;2;;+;;;;;;1.1.0031;;
10.0086;Сальник 40*72/88*8/14,8 SKL;;Сальник 40*72/88*8/14,8 SKL;u;75;UAH;шт.;1;75;2;;+;;;;;;1.1.0061;;
10.0077;Сальник 45,5*84*10/12;;Сальник 45,5*84*10/12;u;115;UAH;шт.;1;115;2;;+;;;;;;1.1.0181;;
10.0083;Сальник 45,5*84*10/12 Samsung Original;;Сальник 45,5*84*10/12 Samsung Original;u;189;UAH;шт.;1;189;2;;+;;;;;;1.1.0252;;
10.0046;Сальник 47*80*10/12;;Сальник 47*80*10/12;u;102;UAH;шт.;1;102;2;;+;;;;;;1.1.0263;;
10.0047;Сальник прижимной V-RING VA-22;;Сальник прижимной V-RING VA-22;u;28;UAH;шт.;1;28;2;;+;;;;;;1.79.0005;;
10.0068;Сальник прижимной V-RING VA-25;;Сальник прижимной V-RING VA-25;u;18;UAH;шт.;1;18;2;;+;;;;;;1.79.0001;;
10.0048;Сальник прижимной V-RING VA-28;;Сальник прижимной V-RING VA-28;u;22;UAH;шт.;1;22;2;;+;;;;;;1.79.0002;;
13.004;Селектор программ CTS 080S0758;;Селектор программ CTS 080S0758;u;340;UAH;шт.;1;340;2;;+;;;;;;7.104.0001;;
2.3.0003;Сенсор температуры Samsung DA32-10105Q;;Сенсор температуры Samsung DA32-10105Q;u;122;UAH;шт.;1;122;2;;+;;;;;;2.28.0068;;
18.0014;Сетевой фильтр Indesit Ariston C00064559 для стиральной машины;;Сетевой фильтр Indesit Ariston C00064559 для стиральной машины;u;119;UAH;шт.;1;119;2;;+;;;;;;1.17.0032;;
2.1.0002;Силиконовый герметик belife Прозрачный 310ml;;Силиконовый герметик belife Прозрачный 310ml;u;75;UAH;шт.;1;75;2;;+;;;;;;14.61.0013;;
5.2.001;Слюда листовая 12,5см*15см;;Слюда листовая 12,5см*15см;u;90;UAH;шт.;1;90;2;;+;;;;;;3.18.0005;;
24.0001;Смазка для сальников 100 гр. ANDEROL (Indesit);;Смазка для сальников 100 гр. ANDEROL (Indesit);u;274;UAH;шт.;1;274;2;;+;;;;;;1.89.0004;;
24.0002;Смазка для сальников 2 порции. ANDEROL (Indesit);;Смазка для сальников 2 порции. ANDEROL (Indesit);u;28;UAH;шт.;1;28;2;;+;;;;;;1.89.0005;;
24.0003;Смазка для сальников стиральных машин;;Смазка для сальников стиральных машин;u;105;UAH;шт.;1;105;2;;+;;;;;;1.89.0001;;
26.0003;Суппорт Whirlpool 203 подшипник;;Суппорт Whirlpool 203 подшипник;u;301;UAH;шт.;1;301;2;;+;;;;;;1.9.0009;;
26.0001;Суппорта (фланцы) Whirlpool, комплект. для стиральной машины;;Суппорта (фланцы) Whirlpool, комплект. для стиральной машины;u;452;UAH;шт.;1;452;2;;+;;;;;;1.9.0010;;
26.0004;Суппорт барабана Ardo AR 037670;;Суппорт барабана Ardo AR 037670;u;410;UAH;шт.;1;410;2;;+;;;;;;1.9.0052;;
26.0018;Суппорт для кнопок лицевой панели Gorenje 587486;;Суппорт для кнопок лицевой панели Gorenje 587486;u;180;UAH;шт.;1;180;2;;+;;;;;;1.49.0047;;
26.0013;Суппорт подшипников Electrolux 203 левая резьба;;Суппорт подшипников Electrolux 203 левая резьба;u;430;UAH;шт.;1;430;2;;+;;;;;;1.9.0006;;
26.0006;Суппорт подшипников Electrolux 203 левая резьба Польша;;Суппорт подшипников Electrolux 203 левая резьба Польша;u;350;UAH;шт.;1;350;2;;+;;;;;;1.9.0025;;
26.0014;Суппорт подшипников Electrolux 203 правая резьба;;Суппорт подшипников Electrolux 203 правая резьба;u;445;UAH;шт.;1;445;2;;+;;;;;;1.9.0005;;
26.0007;Суппорт подшипников Electrolux 203 правая резьба Польша;;Суппорт подшипников Electrolux 203 правая резьба Польша;u;367;UAH;шт.;1;367;2;;+;;;;;;1.9.0026;;
26.0015;Суппорт подшипников Electrolux 204 левая резьба;;Суппорт подшипников Electrolux 204 левая резьба;u;418;UAH;шт.;1;418;2;;+;;;;;;1.9.0003;;
26.0008;суппорт подшипников Electrolux 204 левая резьба Польша;;суппорт подшипников Electrolux 204 левая резьба Польша;u;280;UAH;шт.;1;280;2;;+;;;;;;1.9.0027;;
26.0009;Суппорт подшипников Electrolux 204 правая резьба;;Суппорт подшипников Electrolux 204 правая резьба;u;418;UAH;шт.;1;418;2;;+;;;;;;1.9.0004;;
26.0010;Суппорт подшипников Elektrolux 204 правая резьба Польша;;Суппорт подшипников Elektrolux 204 правая резьба Польша;u;280;UAH;шт.;1;280;2;;+;;;;;;1.9.0028;;
26.0011;Суппорт подшипников Indesit Ariston с вырезами Original;;Суппорт подшипников Indesit Ariston с вырезами Original;u;311;UAH;шт.;1;311;2;;+;;;;;;1.9.0016;;
26.0002;Суппорт (фланец) Bosch, Gorenje (франция) левый;;Суппорт (фланец) Bosch, Gorenje (франция) левый;u;476;UAH;шт.;1;476;2;;+;;;;;;cod 708;;
2.4.001;Таймер оттайки StinoL универсальный (6часов/25мин);;Таймер оттайки StinoL универсальный (6часов/25мин);u;265;UAH;шт.;1;265;2;;+;;;;;;2.90.0019;;
3.3.001;Термозащита бойлера Electrolux не оригинал;;Термозащита бойлера Electrolux не оригинал;u;185;UAH;шт.;1;185;2;;+;;;;;;4.12.0008;;
3.3.002;Термозащита бойлера с Gorenje;;Термозащита бойлера с Gorenje;u;180;UAH;шт.;1;180;2;;+;;;;;;4.12.0009;;
2.1.017;Термостат K-50 RANCO L-1,3m;;Термостат K-50 RANCO L-1,3m;u;190;UAH;шт.;1;190;2;;+;;;;;;;;
2.1.015;Термостат K59-P1686 1.3 SKL (аналог Ranco K59-P1686);;Термостат K59-P1686 1.3 SKL (аналог Ranco K59-P1686);u;155;UAH;шт.;1;155;2;;+;;;;;;22802;;
2.1.001;Термостат KDF-22 (двухкамерный);;Термостат KDF-22 (двухкамерный);u;144;UAH;шт.;1;144;2;;+;;;;;;2.12.0081;;
2.1.002;Термостат KPF-18 (однокамерный);;Термостат KPF-18 (однокамерный);u;155;UAH;шт.;1;155;2;;+;;;;;;2.12.0082;;
3.1.014;Термостат биметалический 15А (длина 265мм) Китай;;Термостат биметалический 15А (длина 265мм) Китай;u;115;UAH;шт.;1;115;2;;+;;;;;;4.12.0020;;
3.1.015;Термостат биметалический 15А (длина 275мм) Oasis3.;;Термостат биметалический 15А (длина 275мм) Oasis3.;u;165;UAH;шт.;1;165;2;;+;;;;;;4.12.0037;;
3.1.013;Термостат биметалический 20А (длина 270мм) Турция;;Термостат биметалический 20А (длина 270мм) Турция;u;170;UAH;шт.;1;170;2;;+;;;;;;4.12.0017;;
3.1.011;Термостат биметалический (штырьковый) Китай (для бойлера);;Термостат биметалический (штырьковый) Китай (для бойлера);u;95;UAH;шт.;1;95;2;;+;;;;;;4.12.0013;;
2.1.016;Термостат Датчик реле темп.Ф200;;Термостат Датчик реле темп.Ф200;u;148;UAH;шт.;1;148;2;;+;;;;;;;;
2.1.013;термостат К57 2,5м Indesit C00851095;;термостат К57 2,5м Indesit C00851095;u;262;UAH;шт.;1;262;2;;+;;;;;;2.12.0018;;
2.1.003;Термостат К-57 2,5м Ranco L2829 original;;Термостат К-57 2,5м Ranco L2829 original;u;242;UAH;шт.;1;242;2;;+;;;;;;2.12.0076;;
2.1.004;Термостат К-59 1.2 м;;Термостат К-59 1.2 м;u;145;UAH;шт.;1;145;2;;+;;;;;;2.12.0001;;
2.1.005;Термостат К-59 1,3м Ranco P1686 original;;Термостат К-59 1,3м Ranco P1686 original;u;210;UAH;шт.;1;210;2;;+;;;;;;2.12.0069;;
2.1.009;Термостат К-59 2,5м Ranco L1275 original;;Термостат К-59 2,5м Ranco L1275 original;u;225;UAH;шт.;1;225;2;;+;;;;;;2.12.0068;;
2.1.014;Термостат морозильного отделения Samsung DA47-10107R;;Термостат морозильного отделения Samsung DA47-10107R;u;255;UAH;шт.;1;255;2;;+;;;;;;2.12.0027;;
2.1.008;Термостат ТАМ-133 1м (двухкамерный);;Термостат ТАМ-133 1м (двухкамерный);u;155;UAH;шт.;1;155;2;;+;;;;;;2.12.0011;;
2.1.007;Термостат ТАМ-133 2м (двухкамерный);;Термостат ТАМ-133 2м (двухкамерный);u;170;UAH;шт.;1;170;2;;+;;;;;;2.12.0089;;
2.1.011;Термостат ТАМ-145 2м;;Термостат ТАМ-145 2м;u;170;UAH;шт.;1;170;2;;+;;;;;;2.12.0012;;
2.1.0004;Термостойкий силиконовый герметик belife 310ml;;Термостойкий силиконовый герметик belife 310ml;u;133;UAH;шт.;1;133;2;;+;;;;;;14.61.0018;;
5.037;ТЭН 1300W 155мм с датчиком Thermowatt;;ТЭН 1300W 155мм с датчиком Thermowatt;u;285;UAH;шт.;1;285;2;;+;;;;;;1.4.0204;;
5.018;ТЭН 1700 w 175 мм. Подогнутый с отв.;;ТЭН 1700 w 175 мм. Подогнутый с отв.;u;274;UAH;шт.;1;274;2;;+;;;;;;1.4.0027;;
5.011;ТЭН 1700w 17см. с отв. Kawai;;ТЭН 1700w 17см. с отв. Kawai;u;235;UAH;шт.;1;235;2;;+;;;;;;1.4.0051;;
5.002;ТЭН 1700w 17см. с отв. Thermowatt;;ТЭН 1700w 17см. с отв. Thermowatt;u;199;UAH;шт.;1;199;2;;+;;;;;;1.4.0023;;
5.025;ТЭН 1700w 17см. с отв. Thermowatt (упаковка Indesit);;ТЭН 1700w 17см. с отв. Thermowatt (упаковка Indesit);u;205;UAH;шт.;1;205;2;;+;;;;;;1.4.0257;;
5.032;ТЭН 1700W 190мм с отв. Thermowatt;;ТЭН 1700W 190мм с отв. Thermowatt;u;265;UAH;шт.;1;265;2;;+;;;;;;1.4.0016;;
5.033;ТЭН 1900W 18.5см Samsung с датчиком Backer;;ТЭН 1900W 18.5см Samsung с датчиком Backer;u;320;UAH;шт.;1;320;2;;+;;;;;;1.4.0270;;
5.028;ТЭН 1900W 18.5см Samsung с датчиком Original;;ТЭН 1900W 18.5см Samsung с датчиком Original;u;320;UAH;шт.;1;320;2;;+;;;;;;1.4.0043;;
5.034;ТЭН 1900w 18см. с отв. Thermowatt;;ТЭН 1900w 18см. с отв. Thermowatt;u;275;UAH;шт.;1;275;2;;+;;;;;;1.4.0052;;
5.021;ТЭН 1900w 225мм. загнут с отв. Thermowatt;;ТЭН 1900w 225мм. загнут с отв. Thermowatt;u;294;UAH;шт.;1;294;2;;+;;;;;;1.4.0074;;
5.039;ТЭН 1950W 225*175mm прямой с отверстием BACKER;;ТЭН 1950W 225*175mm прямой с отверстием BACKER;u;175;UAH;шт.;1;175;2;;+;;;;;;1.4.0277;;
5.007;ТЭН 1950W 230 мм. с отв. Thermowat;;ТЭН 1950W 230 мм. с отв. Thermowat;u;228;UAH;шт.;1;228;2;;+;;;;;;1.4.0036;;
5.004;ТЭН 1950W 240мм без отв.;;ТЭН 1950W 240мм без отв.;u;275;UAH;шт.;1;275;2;;+;;;;;;1.4.0028;;
5.008;ТЭН 1950W 24см с отв. Thermowatt;;ТЭН 1950W 24см с отв. Thermowatt;u;274;UAH;шт.;1;274;2;;+;;;;;;1.4.0039;;
5.041;ТЭН 1950Вт 270мм прямой без отверстия Termowatt CANDY 91201546;;ТЭН 1950Вт 270мм прямой без отверстия Termowatt CANDY 91201546;u;286;UAH;шт.;1;286;2;;+;;;;;;1.4.0032;;
5.009;ТЭН 2000W 19см Ariston;;ТЭН 2000W 19см Ariston;u;305;UAH;шт.;1;305;2;;+;;;;;;1.4.0046;;
5.012;ТЭН 2000w 200мм. c отв. Thermowatt;;ТЭН 2000w 200мм. c отв. Thermowatt;u;288;UAH;шт.;1;288;2;;+;;;;;;1.4.0056;;
5.020;ТЭН 2000W 230мм подогнутый;;ТЭН 2000W 230мм подогнутый;u;299;UAH;шт.;1;299;2;;+;;;;;;1.4.0029;;
5.023;ТЭН 2000w 300мм (с датчиком) LG AEG33121503;;ТЭН 2000w 300мм (с датчиком) LG AEG33121503;u;264;UAH;шт.;1;264;2;;+;;;;;;1.4.0224;;
5.024;ТЭН 2000W согнут под 45°;;ТЭН 2000W согнут под 45°;u;272;UAH;шт.;1;272;2;;+;;;;;;1.4.0037;;
5.042;ТЭН 2050W 245мм. с отв. Thermowatt;;ТЭН 2050W 245мм. с отв. Thermowatt;u;245;UAH;шт.;1;245;2;;+;;;;;;1.4.0227;;
5.031;ТЭН 3000w 255мм. без отв. Thermowatt;;ТЭН 3000w 255мм. без отв. Thermowatt;u;573;UAH;шт.;1;573;2;;+;;;;;;1.4.0236;;
5.029;ТЭН ARDO 1950W загнутый дважды SKL;;ТЭН ARDO 1950W загнутый дважды SKL;u;241;UAH;шт.;1;241;2;;+;;;;;;1.4.0182;;
5.014;ТЭН ARDO 1950W загнутый дважды с отверстием;;ТЭН ARDO 1950W загнутый дважды с отверстием;u;367;UAH;шт.;1;367;2;;+;;;;;;1.4.0075;;
5.017;ТЭН ARDO 1950W загнутый дважды с предохр.;;ТЭН ARDO 1950W загнутый дважды с предохр.;u;258;UAH;шт.;1;258;2;;+;;;;;;1.4.0012;;
5.003;ТЭН LG 1900w 175мм. без отв. Thermowatt;;ТЭН LG 1900w 175мм. без отв. Thermowatt;u;235;UAH;шт.;1;235;2;;+;;;;;;1.4.0024;;
5.005;ТЭН LG 1900w 300мм. без отв.;;ТЭН LG 1900w 300мм. без отв.;u;358;UAH;шт.;1;358;2;;+;;;;;;1.4.0031;;
5.015;ТЭН LG 2000w 300мм. без отв. Thermowatt;;ТЭН LG 2000w 300мм. без отв. Thermowatt;u;308;UAH;шт.;1;308;2;;+;;;;;;1.4.0084;;
3.1.018;Тэн Reco 2000 Ват, фланец, c портом под анод, длинные ножки;;Тэн Reco 2000 Ват, фланец, c портом под анод, длинные ножки;u;338;UAH;шт.;1;338;2;;+;;;;;;;;
5.038;ТЭН Samsung 850W (SKL);;ТЭН Samsung 850W (SKL);u;235;UAH;шт.;1;235;2;;+;;;;;;1.4.0017;;
5.006;ТЭН Samsung керамический 1900w 175мм;;ТЭН Samsung керамический 1900w 175мм;u;498;UAH;шт.;1;498;2;;+;;;;;;1.4.0033;;
3.1.006;Тэн Thermowatt 1,5 кВат, гайка, c портом под анод;;Тэн Thermowatt 1,5 кВат, гайка, c портом под анод;u;375;UAH;шт.;1;375;2;;+;;;;;;4.4.0038;;
3.1.007;Тэн Thermowatt 1,5 кВат, фланец, c портом под анод (М6);;Тэн Thermowatt 1,5 кВат, фланец, c портом под анод (М6);u;408;UAH;шт.;1;408;2;;+;;;;;;4.4.0016;;
3.1.005;Тэн Thermowatt 2,0 кВат, гайка, c портом под анод;;Тэн Thermowatt 2,0 кВат, гайка, c портом под анод;u;415;UAH;шт.;1;415;2;;+;;;;;;4.4.0039;;
3.1.017;Тэн Thermowatt 2,0 кВат, фланец, c портом под анод;;Тэн Thermowatt 2,0 кВат, фланец, c портом под анод;u;416;UAH;шт.;1;416;2;;+;;;;;;4.4.0015;;
3.1.008;Тэн Thermowatt типа Thermex 0.7 кВт нерж. без трубки под термостат;;Тэн Thermowatt типа Thermex 0.7 кВт нерж. без трубки под термостат;u;218;UAH;шт.;1;218;2;;+;;;;;;4.4.0047;;
3.1.003;Тэн Thermowatt типа Thermex 2.0 кВт медь. с трубками под 2 термостата;;Тэн Thermowatt типа Thermex 2.0 кВт медь. с трубками под 2 термостата;u;439;UAH;шт.;1;439;2;;+;;;;;;4.4.0051;;
3.1.001;Тэн Thermowatt типа Thermex 2.0 кВт нерж. с трубками под 2 термостата;;Тэн Thermowatt типа Thermex 2.0 кВт нерж. с трубками под 2 термостата;u;376;UAH;шт.;1;376;2;;+;;;;;;4.4.0052;;
3.1.002;Тэн Китай 1,5 кВат, гайка с термостатом;;Тэн Китай 1,5 кВат, гайка с термостатом;u;225;UAH;шт.;1;225;2;;+;;;;;;4.4.0032;;
3.1.010;Тэн Китай 1,5 кВат, фланец, c портом под анод, длинные ножки;;Тэн Китай 1,5 кВат, фланец, c портом под анод, длинные ножки;u;272;UAH;шт.;1;272;2;;+;;;;;;4.4.0021;;
3.1.009;Тэн Китай типа Thermex 2.0 кВт нерж. с трубками под 2 термостата;;Тэн Китай типа Thermex 2.0 кВт нерж. с трубками под 2 термостата;u;291;UAH;шт.;1;291;2;;+;;;;;;4.4.0057;;
2.5.002;Тэн оттайки шторки Samsung DA47-00056B;;Тэн оттайки шторки Samsung DA47-00056B;u;236;UAH;шт.;1;236;2;;+;;;;;;2.4.0069;;
3.1.012;ТЭН сухой Gorenje Electrolux 1000 W;;ТЭН сухой Gorenje Electrolux 1000 W;u;223;UAH;шт.;1;223;2;;+;;;;;;4.4.0001;;
3.1.004;ТЭН сухой Gorenje Electrolux 900 W;;ТЭН сухой Gorenje Electrolux 900 W;u;211;UAH;шт.;1;211;2;;+;;;;;;4.4.0003;;
18.0013;Универсальный cетевой фильтр с проводами;;Универсальный cетевой фильтр с проводами;u;105;UAH;шт.;1;105;2;;+;;;;;;1.17.0019;;
2.7.001;Фильтр осушитель 13гр. D5;;Фильтр осушитель 13гр. D5;u;27;UAH;шт.;1;27;2;;+;;;;;;2.96.0001;;
2.7.003;Фильтр осушитель 15гр. D5 Китай;;Фильтр осушитель 15гр. D5 Китай;u;24;UAH;шт.;1;24;2;;+;;;;;;2.96.0017;;
2.7.004;Фильтр осушитель 15гр. D6 (Китай);;Фильтр осушитель 15гр. D6 (Китай);u;24;UAH;шт.;1;24;2;;+;;;;;;2.96.0011;;
3.1.016;Фланец под «сухие» ТЭНы Gorenje (нержавейка);;Фланец под «сухие» ТЭНы Gorenje (нержавейка);u;825;UAH;шт.;1;825;2;;+;;;;;;4.80.0004;;
22.0003;Хомут резины люка (наружний) LG 2W20017C;;Хомут резины люка (наружний) LG 2W20017C;u;205;UAH;шт.;1;205;2;;+;;;;;;1.202.0005;;
4.1.013;Шестерня 16/37мм 14/34 зубьев для мясорубки Эльво;;Шестерня 16/37мм 14/34 зубьев для мясорубки Эльво;u;90;UAH;шт.;1;90;2;;+;;;;;;18.78.0073;;
4.1.001;Шестерня 41мм/50зуб. 16мм/13 зубьев для мясорубки Помощница;;Шестерня 41мм/50зуб. 16мм/13 зубьев для мясорубки Помощница;u;90;UAH;шт.;1;90;2;;+;;;;;;18.78.0067;;
4.1.015;Шестерня 82мм/46 зубьев с металлическим валом;;Шестерня 82мм/46 зубьев с металлическим валом;u;145;UAH;шт.;1;145;2;;+;;;;;;18.78.0060;;
4.1.012;Шестерня большая к мясорубке Braun Power Plus;;Шестерня большая к мясорубке Braun Power Plus;u;90;UAH;шт.;1;90;2;;+;;;;;;18.78.0005;;
4.1.010;Шестерня для мясорубки Moulinex MS-4775455;;Шестерня для мясорубки Moulinex MS-4775455;u;110;UAH;шт.;1;110;2;;+;;;;;;18.78.0056;;
