Код_товара;Название_позиции;Ключевые_слова;Описание;Тип_товара;Цена;Валюта;Единица_измерения;Минимальный_объем_заказа;Оптовая_цена;Минимальный_заказ_опт;Ссылка_изображения;Наличие;Скидка;Производитель;Страна_производитель;Номер_группы;Адрес_подраздела;Идентификатор_товара;Уникальный_идентификатор;Идентификатор_подраздела
11.056;Ремень 1023 H7 EL «Optibelt» черный;;Ремень 1023 H7 EL «Optibelt» черный;u;194;UAH;шт.;1;194;2;;+;;;;;;1.3.0125;;
11.060;Ремень 1046 H7 EL «Hutchitson» черный;;Ремень 1046 H7 EL «Hutchitson» черный;u;190;UAH;шт.;1;190;2;;+;;;;;;1.3.0107;;
11.055;Ремень 1067 H7 EL «Hutchinson» черный;;Ремень 1067 H7 EL «Hutchinson» черный;u;178;UAH;шт.;1;178;2;;+;;;;;;1.3.0241;;
11.020;Ремень 1105 J4 EL «Megadyne» желтый;;Ремень 1105 J4 EL «Megadyne» желтый;u;148;UAH;шт.;1;148;2;;+;;;;;;1.3.0193;;
11.064;Ремень 1145 H5 EL «Hutchinson» черный;;Ремень 1145 H5 EL «Hutchinson» черный;u;170;UAH;шт.;1;170;2;;+;;;;;;1.3.0581;;
11.059;Ремень 1145 H5 «Optibelt» черный;;Ремень 1145 H5 «Optibelt» черный;u;109;UAH;шт.;1;109;2;;+;;;;;;1.3.0509;;
11.051;Ремень 1151 H7 EL «Hutchinson» черный;;Ремень 1151 H7 EL «Hutchinson» черный;u;185;UAH;шт.;1;185;2;;+;;;;;;1.3.0040;;
11.045;Ремень 1161 J5 EL «Optibelt» черный;;Ремень 1161 J5 EL «Optibelt» черный;u;194;UAH;шт.;1;194;2;;+;;;;;;1.3.0335;;
11.001;Ремень 1173 J5 EL «Megadyne» черный;;Ремень 1173 J5 EL «Megadyne» черный;u;180;UAH;шт.;1;180;2;;+;;;;;;1.3.0076;;
11.025;Ремень 1181 H7 EL «Hutchinson» черный;;Ремень 1181 H7 EL «Hutchinson» черный;u;190;UAH;шт.;1;190;2;;+;;;;;;1.3.0018;;
11.047;Ремень 1181 H8 EL «Hutchinson» черный;;Ремень 1181 H8 EL «Hutchinson» черный;u;185;UAH;шт.;1;185;2;;+;;;;;;1.3.0106;;
11.049;Ремень 1192 J3 EL «Megadyne» желтый;;Ремень 1192 J3 EL «Megadyne» желтый;u;145;UAH;шт.;1;145;2;;+;;;;;;1.3.0031;;
11.032;Ремень 1194 J5 EL «Megadyne» желтый;;Ремень 1194 J5 EL «Megadyne» желтый;u;210;UAH;шт.;1;210;2;;+;;;;;;1.3.0215;;
11.023;Ремень 1195 H7 EL «Hutchinson» черный для стиральной машины;;Ремень 1195 H7 EL «Hutchinson» черный для стиральной машины;u;192;UAH;шт.;1;192;2;;+;;;;;;1.3.0395;;
11.026;Ремень 1195 H8 EL «Hutchinson» черный;;Ремень 1195 H8 EL «Hutchinson» черный;u;192;UAH;шт.;1;192;2;;+;;;;;;1.3.0045;;
11.035;Ремень 1197 J5 EL «Megadyne» желтый;;Ремень 1197 J5 EL «Megadyne» желтый;u;175;UAH;шт.;1;175;2;;+;;;;;;1.3.0011;;
11.037;Ремень 1197 J5 «Optibelt» черный;;Ремень 1197 J5 «Optibelt» черный;u;221;UAH;шт.;1;221;2;;+;;;;;;1.3.0186;;
11.022;Ремень 1200 H8 EL;;Ремень 1200 H8 EL;u;185;UAH;шт.;1;185;2;;+;;;;;;1.3.0266;;
11.041;Ремень 1200 J6 EL «Megadyne» желтый;;Ремень 1200 J6 EL «Megadyne» желтый;u;185;UAH;шт.;1;185;2;;+;;;;;;1.3.0062;;
11.030;Ремень 1204 H8 EL «Hutchinson» черный;;Ремень 1204 H8 EL «Hutchinson» черный;u;185;UAH;шт.;1;185;2;;+;;;;;;1.3.0004;;
11.031;Ремень 1204 H8 «Optibelt» черный;;Ремень 1204 H8 «Optibelt» черный;u;185;UAH;шт.;1;185;2;;+;;;;;;1.3.0393;;
11.014;Ремень 1207 J4 Hutchinson черный;;Ремень 1207 J4 Hutchinson черный;u;175;UAH;шт.;1;175;2;;+;;;;;;1.3.0036;;
11.063;Ремень 1210 J5 EL «Optibelt» черный;;Ремень 1210 J5 EL «Optibelt» черный;u;227;UAH;шт.;1;227;2;;+;;;;;;1.3.0369;;
11.003;Ремень 1213 H8 MAEL hutchinson;;Ремень 1213 H8 MAEL hutchinson;u;190;UAH;шт.;1;190;2;;+;;;;;;1.3.0231;;
11.052;Ремень 1215 H8 EL «Hutchinson» черный;;Ремень 1215 H8 EL «Hutchinson» черный;u;230;UAH;шт.;1;230;2;;+;;;;;;1.3.0056;;
11.065;Ремень 1220 H6 «Hutchinson» черный;;Ремень 1220 H6 «Hutchinson» черный;u;162;UAH;шт.;1;162;2;;+;;;;;;1.3.0507;;
11.039;Ремень 1220 J5 EL «Megadyne» желтый;;Ремень 1220 J5 EL «Megadyne» желтый;u;178;UAH;шт.;1;178;2;;+;;;;;;1.3.0006;;
11.050;Ремень 1233 H8 EL «Hutchinson» черный;;Ремень 1233 H8 EL «Hutchinson» черный;u;190;UAH;шт.;1;190;2;;+;;;;;;1.3.0501;;
11.027;Ремень 1233 H8 EL «MEGADYNE» ARDO черный;;Ремень 1233 H8 EL «MEGADYNE» ARDO черный;u;170;UAH;шт.;1;170;2;;+;;;;;;1.3.0020;;
11.062;Ремень 1236 J4 EL «Hutchinson» черный;;Ремень 1236 J4 EL «Hutchinson» черный;u;188;UAH;шт.;1;188;2;;+;;;;;;1.3.0156;;
11.024;Ремень 1243 J5 EL «Optibelt» черный;;Ремень 1243 J5 EL «Optibelt» черный;u;209;UAH;шт.;1;209;2;;+;;;;;;1.3.0450;;
11.009;Ремень 1245 J5 EL «Megadyne» желтый;;Ремень 1245 J5 EL «Megadyne» желтый;u;170;UAH;шт.;1;170;2;;+;;;;;;1.3.0008;;
11.017;Ремень 1250 J4 EL «Hutchitson»;;Ремень 1250 J4 EL «Hutchitson»;u;215;UAH;шт.;1;215;2;;+;;;;;;1.3.0135;;
11.046;Ремень 1262 J5 EL «Optibelt» черный;;Ремень 1262 J5 EL «Optibelt» черный;u;224;UAH;шт.;1;224;2;;+;;;;;;1.3.0392;;
11.007;Ремень 1270 J3 «Megadyne» желтый;;Ремень 1270 J3 «Megadyne» желтый;u;145;UAH;шт.;1;145;2;;+;;;;;;1.3.0001;;
11.005;Ремень 1270 J4 «Megadyne» желтый;;Ремень 1270 J4 «Megadyne» желтый;u;165;UAH;шт.;1;165;2;;+;;;;;;1.3.0137;;
11.016;Ремень 1270 J5 «Megadyne» желтый;;Ремень 1270 J5 «Megadyne» желтый;u;145;UAH;шт.;1;145;2;;+;;;;;;1.3.0104;;
11.048;Ремень 1276 J4 EL «Hutchinson» черный;;Ремень 1276 J4 EL «Hutchinson» черный;u;191;UAH;шт.;1;191;2;;+;;;;;;1.3.0150;;
11.053;Ремень 1280 J5 EL «Hutchitson» черный;;Ремень 1280 J5 EL «Hutchitson» черный;u;245;UAH;шт.;1;245;2;;+;;;;;;1.3.0105;;
11.015;Ремень 1280 J6 EL Hutchinson;;Ремень 1280 J6 EL Hutchinson;u;188;UAH;шт.;1;188;2;;+;;;;;;1.3.0072;;
11.057;Ремень 1280 J6 EL «Megadyne» желтый;;Ремень 1280 J6 EL «Megadyne» желтый;u;180;UAH;шт.;1;180;2;;+;;;;;;1.3.0087;;
11.029;Ремень 1287 H8 EL «Hutchinson» черный;;Ремень 1287 H8 EL «Hutchinson» черный;u;176;UAH;шт.;1;176;2;;+;;;;;;1.3.0053;;
11.034;Ремень 1287 H8 EL «Megadyne» желтый;;Ремень 1287 H8 EL «Megadyne» желтый;u;175;UAH;шт.;1;175;2;;+;;;;;;1.3.0100;;
